test_person,reference_image,test_image,img_size,response,resptime
Testperson 6,10,90,5113,4,1.254413
Testperson 6,05,60,22344,4,2.079897
Testperson 6,10,100,2234,1,7.364378
Testperson 6,09,90,7945,3,2.996041
Testperson 6,06,50,37689,5,2.13695
Testperson 6,06,30,52569,5,1.714452
Testperson 6,07,90,4373,4,1.19884
Testperson 6,08,50,19384,5,1.275362
Testperson 6,03,70,27207,5,2.463874
Testperson 6,04,40,38864,6,1.666484
Testperson 6,08,90,6055,4,3.220504
Testperson 6,06,70,26423,5,3.343563
Testperson 6,06,90,10657,4,1.412712
Testperson 6,07,20,31227,5,1.49378
Testperson 6,03,60,32321,5,1.863471
Testperson 6,01,70,21606,5,1.557395
Testperson 6,10,60,13338,5,1.833635
Testperson 6,02,30,23063,5,1.828458
Testperson 6,07,10,48214,5,2.274346
Testperson 7,08,30,26804,6,4.280105
Testperson 7,04,30,46006,5,1.221192
Testperson 7,02,10,47183,5,1.843185
Testperson 7,05,70,18298,3,2.105287
Testperson 7,05,40,30226,5,2.011002
Testperson 7,05,20,45730,6,0.861352
Testperson 7,01,50,30418,4,2.31474
Testperson 7,02,100,1878,0,1.600225
Testperson 7,01,30,42040,6,2.742411
Testperson 7,01,60,26071,5,1.137537
Testperson 7,09,100,2511,0,1.273638
Testperson 7,05,90,7623,1,1.79315
Testperson 7,07,40,19798,4,2.427837
Testperson 7,09,20,43540,5,3.165471
Testperson 7,03,40,42141,4,2.649571
Testperson 7,03,90,12381,1,1.920639
Testperson 7,02,70,10528,4,2.030221
Testperson 7,09,10,64889,6,3.498539
Testperson 7,01,90,8821,2,2.596994
Testperson 7,02,80,7533,3,4.366214
Testperson 7,06,40,43737,4,2.094567
Testperson 7,02,90,4151,1,3.875181
Testperson 7,07,80,8245,4,3.053452
Testperson 7,05,50,26175,5,2.10935
Testperson 7,04,20,57167,6,1.552633
Testperson 7,06,80,19411,3,2.379065
Testperson 7,05,30,36281,6,4.578233
Testperson 7,05,80,13466,5,0.967054
Testperson 7,04,90,11258,2,3.96245
Testperson 7,10,10,43294,6,2.643501
Testperson 7,03,10,85126,6,1.202447
Testperson 7,08,10,51322,6,1.563155
Testperson 7,04,10,81772,6,1.45733
Testperson 7,04,80,18731,5,1.541142
Testperson 7,07,70,11592,5,1.746354
Testperson 7,04,100,4048,0,1.335729
Testperson 7,08,70,13727,4,2.70896
Testperson 7,07,50,17001,5,1.589752
Testperson 7,03,20,61290,5,6.105258
Testperson 7,09,40,28271,6,2.389096
